frequency,FFTpower
35.68914,7.82E-09
35.7366,3.09E-09
35.78406,9.87E-09
35.83152,1.44E-08
35.87898,5.19E-09
35.92644,3.79E-09
35.9739,7.22E-09
36.02136,1.94E-09
36.06882,1.21E-09
36.11627,3.00E-10
36.16373,1.49E-09
36.21119,5.74E-09
36.25865,2.57E-09
36.30611,2.65E-09
36.35357,8.11E-09
36.40103,5.43E-09
36.44849,7.56E-09
36.49595,1.69E-10
36.54341,3.57E-09
36.59086,5.82E-09
36.63832,7.66E-11
36.68578,4.31E-09
36.73324,2.88E-09
36.7807,1.05E-08
36.82816,6.10E-10
36.87562,3.47E-09
36.92308,5.40E-09
36.97054,3.86E-09
37.01799,3.42E-09
37.06545,5.75E-10
37.11291,7.56E-09
37.16037,3.27E-09
37.20783,5.15E-10
37.25529,1.50E-09
37.30275,1.04E-08
37.35021,6.49E-09
37.39767,5.07E-09
37.44513,1.22E-09
37.49258,2.68E-09
37.54004,1.14E-09
37.5875,3.00E-09
37.63496,1.04E-09
37.68242,1.04E-10
37.72988,1.11E-09
37.77734,9.17E-09
37.8248,1.00E-09
37.87226,2.67E-09
37.91972,3.40E-09
37.96717,1.41E-09
38.01463,3.23E-09
38.06209,2.52E-09
38.10955,7.78E-09
38.15701,5.49E-10
38.20447,1.69E-08
38.25193,5.04E-09
38.29939,2.74E-10
38.34685,2.93E-09
38.3943,2.13E-09
38.44176,3.79E-09
38.48922,8.02E-09
38.53668,3.24E-09
38.58414,4.13E-09
38.6316,5.20E-10
38.67906,6.44E-09
38.72652,5.52E-09
38.77398,3.32E-10
38.82144,3.52E-09
38.86889,4.95E-09
38.91635,1.61E-09
38.96381,5.12E-09
39.01127,3.45E-09
39.05873,5.34E-09
39.10619,7.90E-09
39.15365,1.40E-09
39.20111,1.69E-09
39.24857,1.55E-08
39.29603,8.87E-09
39.34348,5.32E-09
39.39094,3.68E-10
39.4384,1.01E-09
39.48586,3.71E-09
39.53332,4.94E-09
39.58078,3.69E-09
39.62824,2.85E-09
39.6757,1.16E-09
39.72316,1.79E-09
39.77061,1.94E-09
39.81807,7.66E-09
39.86553,7.38E-09
39.91299,2.37E-09
39.96045,1.44E-10
40.00791,7.52E-09
40.05537,1.10E-09
40.10283,1.48E-09
40.15029,8.95E-10
40.19775,2.19E-09
40.2452,1.07E-09
40.29266,9.87E-10
40.34012,5.29E-09
40.38758,6.14E-11
40.43504,4.19E-09
40.4825,3.98E-09
40.52996,8.69E-10
40.57742,8.86E-09
40.62488,4.67E-09
40.67234,1.96E-09
40.71979,1.96E-08
40.76725,1.11E-08
40.81471,5.59E-09
40.86217,1.19E-08
40.90963,9.77E-09
40.95709,9.06E-10
41.00455,4.78E-09
41.05201,1.58E-09
41.09947,9.42E-09
41.14693,2.59E-08
41.19438,1.68E-08
41.24184,3.27E-09
41.2893,1.64E-09
41.33676,1.16E-08
41.38422,2.49E-09
41.43168,4.58E-10
41.47914,2.68E-09
41.5266,4.33E-09
41.57406,1.33E-09
41.62151,1.91E-09
41.66897,5.65E-09
41.71643,5.61E-09
41.76389,9.85E-10
41.81135,2.72E-09
41.85881,5.77E-10
41.90627,2.40E-09
41.95373,2.64E-09
42.00119,3.35E-10
42.04865,9.98E-09
42.0961,5.10E-09
42.14356,6.67E-10
42.19102,2.47E-09
42.23848,1.30E-08
42.28594,2.31E-09
42.3334,1.83E-10
42.38086,2.79E-09
42.42832,1.52E-08
42.47578,8.15E-09
42.52324,1.05E-08
42.57069,1.83E-10
42.61815,4.36E-09
42.66561,8.61E-09
42.71307,3.09E-09
42.76053,9.87E-09
42.80799,4.59E-10
42.85545,3.00E-09
42.90291,2.19E-09
42.95037,8.95E-10
42.99782,9.72E-09
43.04528,6.51E-10
43.09274,5.98E-09
43.1402,5.61E-09
43.18766,4.85E-09
43.23512,7.53E-09
43.28258,2.27E-09
43.33004,7.09E-09
43.3775,2.63E-09
43.42496,1.98E-09
43.47241,4.39E-09
43.51987,1.21E-09
43.56733,3.29E-09
43.61479,1.11E-09
43.66225,6.51E-10
43.70971,2.54E-11
43.75717,2.50E-09
43.80463,1.56E-08
43.85209,4.47E-09
43.89955,5.17E-09
43.947,1.71E-09
43.99446,4.85E-10
44.04192,2.26E-09
44.08938,9.54E-10
44.13684,1.01E-09
44.1843,4.06E-09
44.23176,1.84E-10
44.27922,2.17E-09
44.32668,9.77E-09
44.37413,2.66E-09
44.42159,6.94E-09
44.46905,6.68E-10
44.51651,2.30E-10
44.56397,1.04E-09
44.61143,6.40E-11
44.65889,4.45E-09
44.70635,1.58E-09
44.75381,7.18E-11
44.80127,1.36E-09
44.84872,7.27E-09
44.89618,6.74E-10
44.94364,3.34E-09
44.9911,4.03E-09
45.03856,4.77E-09
45.08602,3.53E-09
45.13348,4.36E-09
45.18094,1.45E-09
45.2284,8.37E-09
45.27586,3.40E-09
45.32331,6.63E-10
45.37077,2.57E-09
45.41823,7.56E-10
45.46569,7.95E-10
45.51315,1.30E-09
45.56061,2.24E-12
45.60807,2.26E-09
45.65553,3.52E-10
45.70299,5.70E-10
45.75044,2.52E-10
45.7979,2.74E-09
45.84536,1.13E-08
45.89282,3.93E-10
45.94028,2.67E-09
45.98774,4.94E-09
46.0352,1.31E-09
46.08266,8.34E-10
46.13012,3.08E-09
46.17758,2.88E-09
46.22503,6.36E-09
46.27249,5.98E-10
46.31995,8.97E-09
46.36741,3.80E-09
46.41487,2.64E-09
46.46233,3.15E-09
46.50979,5.46E-09
46.55725,4.90E-09
46.60471,6.32E-10
46.65217,5.10E-09
46.69962,1.57E-11
46.74708,2.62E-09
46.79454,3.55E-09
46.842,1.35E-09
46.88946,3.10E-09
46.93692,3.28E-09
46.98438,5.47E-09
47.03184,2.03E-09
47.0793,2.93E-09
47.12675,1.05E-09
47.17421,3.80E-09
47.22167,1.77E-08
47.26913,5.06E-09
47.31659,5.01E-09
47.36405,9.20E-09
47.41151,7.25E-09
47.45897,1.27E-09
47.50643,4.94E-09
47.55389,1.49E-09
47.60134,4.22E-09
47.6488,3.06E-10
47.69626,1.89E-09
47.74372,4.83E-09
47.79118,1.17E-09
47.83864,5.37E-09
47.8861,8.66E-09
47.93356,2.70E-09
47.98102,6.81E-09
48.02848,1.12E-09
48.07593,5.93E-10
48.12339,2.28E-09
48.17085,3.95E-10
48.21831,2.48E-09
48.26577,3.10E-09
48.31323,1.33E-10
48.36069,1.33E-09
48.40815,6.00E-09
48.45561,6.89E-10
48.50307,2.42E-09
48.55052,7.22E-09
48.59798,6.85E-09
48.64544,6.83E-10
48.6929,1.64E-08
48.74036,1.11E-09
48.78782,1.03E-08
48.83528,8.78E-09
48.88274,1.36E-09
48.9302,7.34E-10
48.97765,1.28E-09
49.02511,9.45E-10
49.07257,9.69E-09
49.12003,3.86E-09
49.16749,5.88E-09
49.21495,6.83E-10
49.26241,2.97E-09
49.30987,3.20E-10
49.35733,1.34E-09
49.40479,4.66E-09
49.45224,1.73E-09
49.4997,1.57E-08
49.54716,2.87E-09
49.59462,8.80E-10
49.64208,2.02E-09
49.68954,1.51E-09
49.737,4.39E-10
49.78446,1.48E-09
49.83192,3.69E-09
49.87938,8.89E-09
49.92683,1.28E-09
49.97429,6.97E-09
50.02175,1.90E-09
50.06921,1.23E-09
50.11667,8.34E-09
50.16413,1.05E-08
50.21159,5.48E-09
50.25905,2.05E-09
50.30651,1.27E-09
50.35396,9.41E-09
50.40142,6.17E-11
50.44888,6.62E-10
50.49634,1.12E-08
50.5438,6.07E-09
50.59126,5.93E-09
50.63872,5.71E-09
50.68618,3.58E-09
50.73364,8.70E-09
50.7811,4.41E-09
50.82855,1.28E-09
50.87601,8.12E-10
50.92347,6.46E-09
50.97093,3.43E-09
51.01839,1.30E-10
51.06585,4.53E-09
51.11331,5.75E-10
51.16077,7.91E-09
51.20823,3.10E-10
51.25569,8.94E-09
51.30314,1.13E-09
51.3506,4.02E-09
51.39806,2.94E-09
51.44552,3.39E-09
51.49298,2.86E-10
51.54044,7.39E-10
51.5879,9.64E-10
